kutti,standard
ভালা লাগে না,ভালো লাগে না
লাগে না,লাগে না
আমার বিয়ানে খাইতে ভালা লাগে না,আমার সকালে খেতে ভালো লাগে না
আমার বিয়ানে খাইতে ভালা লাগে,আমার সকালে খেতে ভালো লাগে
আমার বিয়ানে কিচ্যু খাইতে ভালা লাগে,আমার সকালে কিছু খেতে ভালো লাগে
বিয়ানে কিচ্যু খাইতে ভালা লাগে,সকালে কিছু খেতে ভালো লাগে
কিচ্যু খাইতে ভালা লাগে,কিছু খেতে ভালো লাগে
খাইতে ভালা লাগে,খেতে ভালো লাগে
ভালা লাগে,ভালো লাগে
আমার কথার উত্তর দ্যান,আমার প্রশ্নের জবাব দিন
কথার উত্তর দ্যান,প্রশ্নের জবাব দিন
উত্তর দ্যান,জবাব দিন
আমি বেমারি অইয়া পড়ছিলাম,আমি অসুস্থ হয়ে পড়েছিলাম
বেমারি অইয়া পড়ছিলাম,অসুস্থ হয়ে পড়েছিলাম
আমি হেরে দ্যাকতে পাইলাম,আমি তাকে দেখতে পেলাম
হেরে দ্যাকতে পাইলাম,তাকে দেখতে পেলাম
দ্যাকতে পাইলাম,দেখতে পেলাম
এইহানে খাড়ান,এখানে অপেক্ষা করুন
খাড়ান,অপেক্ষা করুন
সময় শ্যাষ অইয়া গ্যাছে,সময় শেষ হয়ে গেছে
শিমুর লাল রং পচন্দ,শিমুর লাল রং পছন্দ
